district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.19201,92.84508,578.5,25.97,5.89,Red and yellow forest soil,Sub-Tropical Montane Forest,107.1,137.9,260.9,30.01,14842,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.191525,90.52695,161.5,17.17,5.39,Laterite outcrop,Rubber Plantation,61.5,131.9,287.0,15.61,14427,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.152233,90.908277,50.3,0.43,15.55,Clayey hydromorphic loam,Dense Rural Settlement,229.3,468.9,645.6,0.42,203,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.118691,93.922785,90.5,0.65,14.6,Riverine silt loam,Paddy Cropland,178.8,319.7,492.5,1.39,499,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.141402,89.972281,39.2,0.3,14.07,Fine riverine sand,Riparian Wetland,160.1,387.8,469.0,0.61,83,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.761546,91.447576,144.5,5.86,4.92,Bhabar gravelly loam,Tea Estate,82.8,162.8,231.7,7.97,10508,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.249957,94.006274,87.0,0.4,15.38,Clayey loam,Alluvial Lowland,137.3,281.1,454.8,1.94,348,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.061429,92.981775,69.8,0.56,12.04,Silty alluvium,Lowland Marsh,145.8,412.8,486.3,1.82,454,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.765668,91.636952,106.5,8.88,5.48,Coarse boulder-sand,Deciduous Forest,117.7,250.9,346.9,7.16,7633,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.165319,90.01328,40.2,0.28,11.89,Fine riverine sand,Riparian Wetland,144.9,283.3,430.4,1.34,449,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.052218,92.887574,390.9,23.44,3.58,Red and yellow forest soil,Settlement on Ridge,112.5,201.7,195.6,16.89,7508,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.118381,91.941872,162.8,21.34,4.72,Red gravelly loam,Highland Residential Built-up,89.7,183.2,256.8,5.36,8534,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.918169,93.357875,228.2,18.52,5.05,Red loamy soil,Dense Tropical Forest,50.6,112.1,239.3,16.21,15756,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.155331,90.606502,169.5,13.72,4.99,Gravelly red loam,Rubber Plantation,72.6,182.6,232.6,9.52,9140,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.760443,91.614822,111.6,8.0,4.68,Coarse boulder-sand,Tea Estate,106.3,231.3,331.6,13.22,9281,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.937602,92.866974,32.7,0.57,12.59,Hydromorphic depression silt,Urban Built-up / Commercial,273.2,408.9,600.4,1.05,177,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.474591,91.020989,45.4,0.65,16.04,Clayey hydromorphic loam,Paddy Cropland,168.4,373.3,607.0,1.09,390,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.245253,92.947687,446.2,14.05,5.46,Red and yellow forest soil,Settlement on Ridge,109.3,122.6,236.2,17.6,17553,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.235977,92.96538,598.8,17.46,3.58,Gravelly skeletal clay,Sub-Tropical Montane Forest,93.7,145.9,180.7,30.75,18306,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.77239,92.744847,28.5,0.22,16.48,Heavy alluvial clay,Paddy Cropland,185.7,464.1,567.6,1.03,96,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.064237,90.740019,115.1,12.96,6.48,Laterite outcrop,Rubber Plantation,75.8,198.8,290.8,11.88,9511,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.15287,90.394593,40.0,0.32,15.23,Hydromorphic alluvial silt,Paddy Cropland,203.7,313.5,522.0,0.89,561,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.486876,95.575254,192.9,11.89,7.14,Sandy clay red loam,Tea Estate,71.2,204.7,260.8,19.47,17889,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.160903,91.873375,238.5,17.55,5.37,Red gravelly loam,Reserved Forest Upland,81.7,177.4,207.4,5.77,13980,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.413543,92.885789,652.0,14.76,6.32,Gravelly skeletal clay,Sub-Tropical Montane Forest,71.9,144.7,299.6,33.54,25724,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.548999,94.723456,103.0,0.37,12.65,Silty clay loam,Paddy Cropland,183.0,355.8,432.5,0.9,91,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.399864,95.774176,175.7,6.93,7.27,Sandy clay red loam,Tea Estate,112.3,182.2,336.5,20.84,5928,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.160858,91.121507,44.5,0.78,14.26,Sand bar alluvium,Permanent Wetland,185.4,424.6,576.3,1.56,385,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.631206,93.64215,72.2,0.84,11.74,Marshy organic loam,National Park Grassland,150.0,389.7,460.6,0.7,358,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.103913,90.29542,43.9,0.5,12.11,Hydromorphic alluvial silt,Riparian Wetland,185.0,382.7,523.1,0.88,476,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.63453,93.637492,65.9,0.75,11.02,Alluvial silt loam,National Park Grassland,162.5,356.6,465.9,1.93,192,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.098683,90.291102,39.6,0.41,14.76,Fine riverine sand,Paddy Cropland,165.2,385.0,506.1,0.66,141,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.89183,91.452922,109.8,8.11,6.52,Bhabar gravelly loam,Foothill Plantation,86.9,229.3,324.4,17.95,8870,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.043374,94.060418,85.6,0.15,12.09,Active alluvial deposits,Wetland,153.9,284.5,445.2,0.96,228,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.781417,95.188047,107.6,0.78,14.76,Silty clay loam,Paddy Cropland,191.4,307.6,488.5,0.3,277,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.704512,94.22951,128.5,4.47,5.82,Deep red acidic loam,Agroforestry,80.2,178.5,212.9,10.93,11065,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.21506,94.162261,95.8,0.7,11.52,Riverine silt loam,Alluvial Lowland,180.5,373.5,478.7,1.07,133,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.8887,92.851687,28.7,0.34,16.09,Heavy alluvial clay,Paddy Cropland,205.3,484.9,522.7,1.21,428,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.748044,91.537925,97.5,6.58,5.29,Coarse boulder-sand,Tea Estate,123.5,196.1,244.4,11.98,5816,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.442974,91.057936,48.6,0.58,15.92,Clayey hydromorphic loam,Char Land,241.4,411.7,557.3,1.78,230,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.129466,90.669114,166.9,8.99,6.11,Gravelly red loam,Mixed Scrub and Rocky Outcrop,94.0,169.5,195.5,6.07,14380,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.151574,91.762367,241.5,19.96,8.18,Red gravelly loam,Highland Residential Built-up,71.9,200.6,295.3,12.56,9276,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.115397,94.207915,79.5,0.17,15.44,Active alluvial deposits,Char / River Island Sandbar,139.1,354.9,495.2,0.54,160,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.269392,92.247022,52.1,0.64,13.82,Organic silty clay,Paddy Cropland,212.0,336.2,562.9,0.45,65,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.862981,91.580742,107.3,3.89,5.62,Bhabar gravelly loam,Deciduous Forest,120.7,209.4,353.7,9.59,7784,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.839416,92.6103,86.1,5.06,8.24,Piedmont coarse alluvium,Urban Cantonment,68.4,166.6,324.4,14.67,6402,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.132845,91.706587,274.2,12.58,7.1,Red gravelly loam,Rocky Outcrop / Hill Scrub,61.8,166.5,200.3,5.39,10045,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.398444,92.295909,52.1,0.61,11.5,Riverine silt,Rural Floodplain Settlement,185.3,353.9,586.7,1.86,469,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.789027,94.284661,111.3,3.75,5.75,Old alluvial terrace soil,Agroforestry,55.8,111.5,262.0,10.37,16277,0,0
